node,type,degree
에스케이플러그하이버스,Company,1
에스케이피아이씨글로벌,Company,1
에스티엠,Company,1
에쓰오일토탈윤활유(STLC),Company,1
에코로지스틱스,Company,1
에코프로글로벌,Company,1
엔솔브,Company,1
엔켐모빌리티,Company,1
엘앤에프 케모솔루션,Company,1
엘앤에프플러스,Company,1
엘에스 엘앤에프 배터리솔루션,Company,1
엘지에니바이오리파이닝,Company,1
엘지에이치와이비씨엠,Company,1
여주에너지서비스,Company,1
오정강,Company,1
원동풍력,Company,1
원예 작물,Industry,1
원프레딕트,Company,1
유럽 보조금 및 세제 혜택,Policy,1
유럽연합 CO₂감축 규제,Policy,1
유류판매,Industry,1
유미코아,Company,1
윤활유,Industry,1
음극재,Industry,1
의약품,Industry,1
이너보틀,Company,1
이디엘,Company,1
이알시스템,Company,1
이엔에스시티가스,Company,1
이엔에스시티가스부산,Company,1
이차 전지 소재,Industry,1
인진,Company,1
인텔렉추얼 디스커버리,Company,1
인텔렉추얼디스커버리,Company,1
작물보호제,Industry,1
재생에너지,Industry,1
재생에너지 공급 정책,Policy,1
"재생에너지, 수소 및 에너지솔루션 사업",Industry,1
재영텍,Company,1
전구체,Industry,1
전기사업법,Policy,1
전기자동차,Industry,1
전기차 보급,Policy,1
전기차 산업 육성 정책,Policy,1
전기차 충전,Industry,1
전기차 충전 인프라 운영,Industry,1
전남2해상풍력,Company,1
전남3해상풍력,Company,1
전남해상풍력,Company,1
전력,Industry,1
전력 및 집단에너지,Industry,1
전력 및 집단에너지 사업,Industry,1
전력사업 민자유치계획,Policy,1
전자재료,Industry,1
전지재료,Industry,1
전지재료 계열사,Company,1
전해질,Industry,1
정부의 지원정책,Policy,1
정부정책,Policy,1
제11차 전력수급계획,Policy,1
제6차 집단에너지공급기본계획,Policy,1
제이알에너지솔루션,Company,1
제이에이치 화학공업,Company,1
제이오,Company,1
조류 영양제,Industry,1
종자,Industry,1
중국 전기차 성장률,Policy,1
중앙첨단소재,Company,1
지역난방 보급계획,Policy,1
지주회사,Industry,1
집단에너지,Industry,1
첨단소재,Industry,1
청산풍력발전,Company,1
친환경 농업 정책,Policy,1
친환경 정책 기조,Policy,1
친환경 차량 지원 정책,Policy,1
친환경자동차법 시행령 개정안,Policy,1
켐코,Company,1
코리아기가플랫폼,Company,1
큐바이오텍,Company,1
탄소배출권 사업,Industry,1
탱크터미널,Industry,1
테크윈,Company,1
티더블유바이오매스에너지,Company,1
티디엘,Company,1
티엘케미칼,Company,1
파리기후변화협정,Policy,1
파워로직스,Company,1
파주에너지서비스,Company,1
포드 모터 컴퍼니,Company,1
포스그린,Company,1
포스코,Company,1
포항ISV그린테크1호VC,Company,1
폭스바겐,Company,1
퓨처그라프,Company,1
피앤오케미칼,Company,1
피엠그로우,Company,1
필에너지,Company,1
하나의 크고 아름다운 법,Policy,1
한국 정부의 ESS 단지 조성사업,Policy,1
한국경제신문,Company,1
한국석유공사,Company,1
한국전구체,Company,1
한국전력거래소,Company,1
한국지역난방공사,Company,1
해솔라에너지,Company,1
해쌀태양광,Company,1
행복누리,Company,1
행복키움,Company,1
현대쉘베이스오일,Company,1
현대자동차,Company,1
현대자동차그룹,Company,1
현대제철,Company,1
호텔신라,Company,1
환경,Industry,1
환경 규제,Industry,1
환경 기술,Industry,1
환경 기술 및 환경산업 지원법,Policy,1
흡수성 수지,Industry,1
